,spatial_cluster,x_median,y_median
0,0,14146.107421875,26424.34765625
1,1,5449.6279296875,24407.34375
2,2,15371.8916015625,17539.111328125
3,3,32079.615234375,29357.42578125
4,4,22405.240234375,18070.5
5,5,8900.265625,24706.73046875
6,6,15629.3115234375,23901.08984375
7,7,10701.87890625,12426.4560546875
8,8,15548.3203125,16751.30859375
9,9,14141.76171875,17555.513671875
10,10,9430.1787109375,21796.185546875
11,11,8863.0029296875,13496.48828125
12,12,21960.46484375,17390.359375
13,13,12475.8154296875,23859.509765625
14,14,12810.5546875,22818.595703125
15,15,17081.45703125,24933.298828125
16,16,11900.07421875,13876.298828125
17,17,14286.66796875,22343.505859375
18,18,4919.490234375,27097.751953125
19,19,12492.0791015625,26319.775390625
20,20,13081.5595703125,22600.927734375
21,21,11022.3623046875,19475.30078125
22,22,10520.3984375,27774.48046875
23,23,12509.6650390625,26053.875
24,24,21042.6796875,14727.7177734375
25,25,31831.26953125,21158.3828125
26,26,15975.400390625,19307.94921875
27,27,16671.31640625,21428.37890625
28,28,7570.50439453125,27408.861328125
29,29,11910.228515625,20359.529296875
30,30,8043.35546875,27541.029296875
31,31,13876.884765625,16889.82421875
32,32,15194.544921875,24571.330078125
33,33,10315.28515625,22478.34765625
34,34,17472.498046875,28111.962890625
35,35,19723.470703125,19123.328125
36,36,17985.505859375,25831.458984375
37,37,22692.86328125,20540.478515625
38,38,18256.328125,13415.0078125
39,39,15447.8203125,21369.994140625
40,40,23622.13671875,21642.23046875
41,41,22123.642578125,17852.021484375
42,42,19471.189453125,19031.94921875
43,43,9036.392578125,12987.3193359375
44,44,9616.7109375,19069.537109375
45,45,24624.072265625,20604.400390625
46,46,16274.8173828125,25225.533203125
47,47,19464.244140625,21492.513671875
48,48,12021.6416015625,23962.173828125
49,49,8555.375,19689.5390625
50,50,27015.73046875,12654.087890625
51,51,15434.03515625,23621.9140625
52,52,8098.44384765625,19465.751953125
53,53,6186.794921875,15098.3330078125
54,54,7874.07373046875,24785.62890625
55,55,15930.86328125,22998.369140625
56,56,19220.0625,21500.08203125
57,57,14543.515625,27078.375
58,58,12552.4833984375,17453.70703125
59,59,4800.279296875,27608.560546875
60,60,3563.5869140625,28840.3828125
61,61,30100.140625,25970.53125
62,62,4072.04052734375,18926.150390625
63,63,14463.2978515625,20953.32421875
64,64,13446.0361328125,12130.36328125
65,65,13266.5087890625,15164.6611328125
66,66,31064.70703125,25825.58203125
67,67,14274.6640625,11219.078125
68,68,6592.69873046875,14052.48828125
69,69,28509.802734375,23260.380859375
70,70,17995.814453125,27161.859375
71,71,16682.521484375,19482.36328125
72,72,17048.095703125,15720.7998046875
73,73,26834.703125,18119.28515625
74,74,3440.26416015625,28329.251953125
75,75,4577.1640625,13963.9248046875
76,76,5119.453125,26977.626953125
77,77,16545.541015625,27041.21484375
78,78,19987.0390625,16407.205078125
79,79,22401.412109375,16338.4619140625
80,80,4583.68310546875,11517.7841796875
81,81,15239.1318359375,21074.71875
82,82,6404.2041015625,24148.236328125
83,83,20348.09375,19900.98828125
84,84,18361.296875,27106.61328125
85,85,29238.763671875,23055.189453125
86,86,26089.03125,23537.5234375
87,87,9481.19140625,24533.23828125
88,88,21701.90234375,22237.572265625
89,89,6832.8193359375,15844.095703125
90,90,8623.837890625,27120.240234375
91,91,17540.49609375,19029.77734375
92,92,16108.93359375,27844.22265625
93,93,13511.9521484375,26882.443359375
94,94,20834.31640625,27415.841796875
95,95,9846.5908203125,22678.283203125
96,96,11552.748046875,24651.658203125
97,97,5045.94287109375,26439.607421875
98,98,13781.76171875,14272.296875
99,99,16514.712890625,16515.76953125
100,100,32089.3828125,13022.501953125
101,101,28941.578125,18655.349609375
102,102,11020.513671875,16938.619140625
103,103,11732.755859375,24260.314453125
104,104,16245.03125,19818.583984375
105,105,29397.34765625,20037.849609375
106,106,3050.14599609375,28885.37109375
107,107,10540.892578125,18268.1953125
108,108,14495.193359375,26831.140625
109,109,17360.41796875,25027.27734375
110,110,11375.35546875,19587.37890625
111,111,9976.5751953125,26613.60546875
112,112,21819.501953125,16797.5546875
113,113,5293.88818359375,26437.380859375
114,114,14993.984375,13762.1533203125
115,115,17762.21484375,12527.634765625
116,116,20729.35546875,21394.544921875
117,117,23452.8046875,17823.29296875
118,118,23880.955078125,16730.908203125
119,119,22940.236328125,22747.06640625
120,120,12679.828125,25195.5546875
121,121,5096.53466796875,27614.69921875
122,122,23121.6640625,22755.1328125
123,123,17995.41015625,17583.80078125
124,124,17781.380859375,17628.46484375
125,125,25486.349609375,21435.154296875
126,126,9435.4267578125,15638.3154296875
127,127,4909.54296875,15199.57421875
128,128,11515.255859375,22986.6171875
129,129,4891.47265625,27888.48828125
130,130,12549.92578125,27267.634765625
131,131,2840.12158203125,14996.9384765625
132,132,17275.46484375,22321.24609375
133,133,13232.2060546875,27943.583984375
134,134,10724.259765625,13553.2392578125
135,135,10923.8779296875,24544.4921875
136,136,28693.732421875,15722.857421875
137,137,6806.08984375,20700.84375
138,138,5886.7958984375,13696.2822265625
139,139,2764.85595703125,28168.38671875
140,140,4551.275390625,28114.0390625
141,141,24482.625,24129.55859375
142,142,21881.7578125,22756.88671875
143,143,15417.033203125,23380.31640625
144,144,11596.130859375,23447.59375
145,145,16156.80078125,25747.4453125
146,146,21680.041015625,20352.09765625
147,147,6262.2626953125,13165.126953125
148,148,14427.107421875,22595.8359375
149,149,3783.92578125,27442.67578125
150,150,3826.951904296875,28878.35546875
151,151,16174.158203125,21522.017578125
152,152,12817.2265625,19575.3359375
153,153,24227.23046875,23990.921875
154,154,9116.400390625,27398.228515625
155,155,15600.912109375,23155.623046875
156,156,11957.638671875,14404.806640625
157,157,14290.146484375,20640.046875
158,158,13613.380859375,23516.55078125
159,159,12727.0849609375,21170.689453125
160,160,10050.328125,22816.57421875
161,161,12233.1572265625,23288.263671875
162,162,16948.419921875,25910.5546875
163,163,20345.80078125,17466.44140625
164,164,13968.14453125,27107.1484375
165,165,15249.3046875,22977.658203125
166,166,19788.7421875,19291.1796875
167,167,30614.078125,28218.341796875
168,168,13454.9228515625,18676.6328125
169,169,15962.17578125,13734.0
170,170,12822.693359375,18025.216796875
171,171,5927.9501953125,25460.21484375
172,172,9805.470703125,13030.5390625
173,173,18629.568359375,23917.96484375
174,174,17676.115234375,15188.6630859375
175,175,16366.33984375,17409.4296875
176,176,17117.58984375,17557.103515625
177,177,7443.1611328125,17432.205078125
178,178,6405.6025390625,13736.970703125
179,179,13258.6953125,23779.76171875
180,180,10145.8447265625,22547.53515625
181,181,14949.9404296875,28058.90234375
182,182,12847.90234375,16599.05078125
183,183,30041.720703125,27060.029296875
184,184,15360.373046875,26088.48828125
185,185,11176.728515625,23166.84375
186,186,11208.8857421875,27960.359375
187,187,12033.603515625,16431.76953125
188,188,27193.2734375,13702.275390625
189,189,17831.0390625,16309.490234375
190,190,23922.021484375,20914.91796875
191,191,9683.677734375,19589.796875
192,192,20770.130859375,23697.13671875
193,193,18147.5390625,22912.158203125
194,194,19752.712890625,17623.37109375
195,195,21299.62109375,17134.7734375
196,196,7379.9501953125,14483.3671875
197,197,15302.8046875,12084.88671875
198,198,30196.001953125,19539.4921875
199,199,22628.44140625,16838.8515625
200,200,11394.7265625,27528.640625
201,201,6373.19775390625,27040.9296875
202,202,8233.8388671875,17785.58984375
203,203,26452.95703125,20180.453125
204,204,22750.8359375,22629.5625
205,205,24926.96875,18433.130859375
206,206,19522.42578125,22008.16015625
207,207,19461.91796875,22130.66796875
208,208,15279.67578125,27001.17578125
209,209,16841.26171875,21007.7265625
210,210,6130.8447265625,27548.376953125
211,211,10813.025390625,22320.341796875
212,212,18007.328125,25641.53125
213,213,14944.1298828125,21991.203125
214,214,23071.31640625,11606.310546875
215,215,14605.365234375,18949.01953125
216,216,19481.734375,19979.955078125
217,217,4329.15771484375,28137.642578125
218,218,27036.994140625,15033.091796875
219,219,24935.4140625,22262.98828125
220,220,26312.78125,20012.453125
221,221,13866.0029296875,24410.39453125
222,222,18311.2265625,22096.421875
223,223,28351.560546875,18122.421875
224,224,29281.89453125,18211.31640625
225,225,12438.443359375,19250.685546875
226,226,9861.888671875,22327.822265625
227,227,30113.12109375,18216.828125
228,228,15887.3740234375,19753.8828125
229,229,18892.712890625,28836.564453125
230,230,6252.2412109375,28165.37890625
231,231,10550.9228515625,15757.0859375
232,232,8905.90234375,26559.740234375
233,233,17645.19921875,20651.46875
234,234,5880.349609375,24184.7265625
235,235,10103.03125,20109.703125
236,236,9182.544921875,20582.3125
237,237,5245.99560546875,24260.140625
238,238,12734.123046875,12141.42578125
239,239,12777.03515625,24216.109375
240,240,22678.96875,12922.8779296875
241,241,19257.03125,26079.884765625
242,242,10609.56640625,20564.78515625
243,243,7239.46435546875,16952.4765625
244,244,13710.0947265625,21877.8515625
245,245,9682.3251953125,26805.888671875
246,246,15491.0869140625,20944.611328125
247,247,27925.4296875,19938.95703125
248,248,8566.5400390625,16655.34375
249,249,8521.05859375,17182.65625
250,250,12544.841796875,25469.82421875
251,251,29703.837890625,16498.861328125
252,252,12404.47265625,20276.2578125
253,253,27915.6640625,19671.162109375
254,254,16063.322265625,16171.423828125
255,255,13176.935546875,20871.94140625
256,256,19009.373046875,20822.09765625
257,257,5676.8349609375,12451.17578125
258,258,26087.2421875,20482.4375
259,259,23611.515625,16732.146484375
260,260,20303.224609375,24212.50390625
261,261,10508.4140625,22946.337890625
262,262,12112.916015625,26991.015625
263,263,12952.07421875,16732.14453125
264,264,18583.41796875,22192.96875
265,265,7772.92529296875,25333.359375
266,266,16741.65625,17990.50390625
267,267,9739.9453125,18027.646484375
268,268,21240.904296875,22439.388671875
269,269,16565.81640625,20528.830078125
270,270,14745.59765625,27096.244140625
271,271,17719.65625,24849.0234375
272,272,27380.046875,18435.83203125
