,spatial_cluster,x_median,y_median
0,0,13166.8193359375,22786.416015625
1,1,14707.2265625,15353.8544921875
2,2,18429.03125,27255.6015625
3,3,25165.16796875,22186.609375
4,4,9243.2783203125,26276.767578125
5,5,9778.90234375,24686.41796875
6,6,14260.115234375,27170.08203125
7,7,25388.70703125,22102.767578125
8,8,9794.8896484375,24359.96875
9,9,10723.1484375,17718.373046875
10,10,4071.2451171875,12834.216796875
11,11,7414.7939453125,17170.94140625
12,12,12567.7646484375,15057.068359375
13,13,9431.0029296875,14215.7607421875
14,14,12323.6689453125,19224.427734375
15,15,12661.759765625,24214.576171875
16,16,4233.0771484375,27768.431640625
17,17,21580.900390625,17961.49609375
18,18,10028.623046875,21098.041015625
19,19,23099.1484375,19571.310546875
20,20,29382.22265625,20010.12890625
21,21,7290.51806640625,15884.2861328125
22,22,15494.876953125,16829.646484375
23,23,25174.9765625,20218.291015625
24,24,6948.16650390625,15576.30859375
25,25,12587.7197265625,21423.6484375
26,26,15683.93359375,14345.15625
27,27,28471.51171875,17581.5859375
28,28,9381.9912109375,25984.1484375
29,29,19159.478515625,25954.03515625
30,30,12047.0126953125,27435.73828125
31,31,28996.69921875,19944.158203125
32,32,10094.98046875,17094.6796875
33,33,20040.955078125,24536.76171875
34,34,16256.10546875,25720.166015625
35,35,9115.0927734375,11646.3017578125
36,36,11771.1875,22272.396484375
37,37,13402.02734375,11891.2216796875
38,38,13113.9755859375,11461.7265625
39,39,9906.720703125,15333.1357421875
40,40,30166.462890625,18754.916015625
41,41,13116.44140625,28434.884765625
42,42,13380.71484375,25787.828125
43,43,11390.66796875,22223.70703125
44,44,12736.7783203125,18757.490234375
45,45,18872.935546875,18871.2421875
46,46,19773.328125,24863.25
47,47,13523.0390625,24933.30859375
48,48,16957.921875,26442.9375
49,49,11109.52734375,14594.7265625
50,50,17364.31640625,27139.142578125
51,51,21243.212890625,19393.1640625
52,52,13379.6328125,22986.1328125
53,53,7403.603515625,16834.2578125
54,54,13993.458984375,16652.5703125
55,55,15100.375,20610.330078125
56,56,3219.739990234375,28920.818359375
57,57,14925.6611328125,17104.080078125
58,58,17114.9140625,23348.89453125
59,59,24655.6953125,18178.8984375
60,60,7824.697265625,26750.0546875
61,61,21657.06640625,19171.244140625
62,62,7915.4912109375,18554.65625
63,63,14330.263671875,16720.89453125
64,64,20605.05859375,17842.2734375
65,65,15401.861328125,23925.31640625
66,66,16719.06640625,26586.439453125
67,67,12512.9990234375,17727.408203125
68,68,18748.55859375,23278.576171875
69,69,9307.97265625,18357.5703125
70,70,11398.763671875,14254.953125
71,71,3810.732177734375,28312.587890625
72,72,6501.880859375,14646.1630859375
73,73,17296.015625,24046.0078125
74,74,8264.0107421875,18339.90625
75,75,12357.08984375,17365.130859375
76,76,9363.4931640625,15869.40625
77,77,9069.935546875,15729.3525390625
78,78,10505.3466796875,19231.232421875
79,79,21463.7734375,18615.16796875
80,80,10200.486328125,27527.36328125
81,81,25652.9765625,19557.046875
82,82,10342.52734375,18886.046875
83,83,11705.9296875,12478.107421875
84,84,23476.39453125,18533.1171875
85,85,23549.41796875,20271.865234375
86,86,16271.96484375,27203.703125
87,87,8175.82177734375,15234.2529296875
88,88,12288.521484375,14664.4609375
89,89,12520.5546875,27360.640625
90,90,3762.5791015625,12693.154296875
91,91,18728.54296875,22950.21484375
92,92,12684.484375,26942.97265625
93,93,23537.30859375,20493.1484375
94,94,14587.0810546875,20575.1171875
95,95,10027.509765625,22228.220703125
96,96,20053.453125,19377.318359375
97,97,8842.62890625,15891.25390625
98,98,13966.009765625,17484.3515625
99,99,9412.4482421875,15453.2783203125
100,100,23689.66015625,21292.73828125
101,101,14849.484375,27824.857421875
102,102,4799.90576171875,27507.1875
103,103,12157.111328125,13353.0361328125
104,104,9851.736328125,23683.5234375
105,105,21174.51953125,15800.798828125
106,106,20295.646484375,11365.8466796875
107,107,14445.8271484375,25697.75390625
108,108,13325.173828125,25200.853515625
109,109,12483.6015625,14527.2822265625
110,110,23136.515625,18919.65234375
111,111,21713.140625,24493.837890625
112,112,11838.6982421875,14619.935546875
113,113,20871.94140625,18493.775390625
114,114,22726.720703125,20170.78125
115,115,13242.115234375,15435.28515625
116,116,14935.541015625,19252.640625
117,117,12575.03125,15283.884765625
118,118,24704.26171875,20329.59765625
119,119,14807.640625,14470.916015625
120,120,9384.02734375,15596.6240234375
121,121,12208.0234375,20849.296875
122,122,14792.3701171875,14952.05859375
123,123,18029.05859375,22783.806640625
124,124,8766.4873046875,13906.9423828125
125,125,11395.29296875,22618.54296875
126,126,15568.4736328125,24824.38671875
127,127,16931.021484375,17947.462890625
128,128,13956.18359375,26271.849609375
129,129,9214.666015625,15818.919921875
130,130,7853.6279296875,15404.943359375
131,131,9280.58203125,15751.837890625
132,132,11251.728515625,14035.267578125
133,133,10338.59375,27261.6171875
134,134,9200.91796875,24141.912109375
135,135,4977.9296875,11399.50390625
136,136,11746.1953125,25406.224609375
137,137,6538.12744140625,17188.474609375
138,138,5143.79736328125,11554.76171875
139,139,12992.201171875,27575.8359375
140,140,12284.1845703125,13245.6513671875
141,141,6228.884765625,15921.7734375
142,142,12613.015625,12691.193359375
143,143,20990.90625,22269.109375
144,144,20422.986328125,18915.580078125
145,145,11556.4130859375,18165.51953125
146,146,13681.48828125,17559.46875
147,147,21636.75,15921.2294921875
148,148,22582.390625,22253.77734375
149,149,17547.39453125,17640.140625
150,150,23333.525390625,21807.8203125
151,151,31779.107421875,19087.947265625
152,152,14896.43359375,23249.607421875
153,153,12402.55078125,16932.64453125
154,154,18417.6015625,15984.8134765625
155,155,21473.421875,19518.1015625
156,156,12843.87890625,25227.7421875
157,157,11536.9423828125,23148.99609375
